id:	name:	is_a:	part_of:	dev_from:	start_stg:	end_stg:	def:
ECAO:1000350	echinoderm anatomy						Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.
ECAO:1000351	anatomical structure	echinoderm anatomy					Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome
ECAO:1000352	anatomical system	echinoderm anatomy					A system that has as its parts distinct anatomical structures interconnected by anatomical structures at a lower level of granularity. Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function
ECAO:1000353	whole organism	echinoderm anatomy					Anatomical structure that is an individual member of a species and consists of one cell or more
ECAO:1000354	anatomical region	echinoderm anatomy					A region of the whole organism without well-defined compartmental boundaries
ECAO:1000355	anatomical space	echinoderm anatomy					
ECAO:1000356	embryo	multicellular organism	whole organism		1-cell stage	prism stage	Anatomical entity that comprises the animal in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems
ECAO:1000357	larva	multicellular organism	whole organism	embryo	early pluteus larva stage	competent pluteus larva stage	
ECAO:1000358	juvenile	multicellular organism	whole organism	larva	late juvenile stage	exotrophic juvenile stage	
ECAO:1000359	adult	multicellular organism	whole organism	juvenile	adult stage	adult stage	
ECAO:1000360	pre-metamorphic individual	multicellular organism	whole organism		1-cell stage	competent pluteus larva stage	
ECAO:1000361	multicellular organism	whole organism			2-cell stage	adult stage	Anatomical structure that is an individual member of a species and consists of more than one cell
ECAO:1000362	digestive system	anatomical system	whole organism		blastopore gastrula stage	adult stage	Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes.
ECAO:1000363	embryonic digestive system	digestive system	embryo		blastopore gastrula stage	prism stage	The gastrointestinal tract that is being formed during embryonic development starting with the formation of the primitive gut tube (or archenteron)
ECAO:1000364	larval digestive system	digestive system	larva		early pluteus larva stage	competent pluteus larva stage	Organ system responsible for the food uptake and processing in the larva
ECAO:1000365	adult digestive system	digestive system	adult		early juvenile stage	adult stage	Anatomical system that processes ingested substances in the adult
ECAO:1000366	immune system	anatomical system	whole organism		early pluteus larva stage	adult stage	
ECAO:1000367	embryo immune system	immune system					
ECAO:1000368	larval immune system	immune system	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000369	adult immune system	immune system	adult		early juvenile stage	adult stage	
ECAO:1000370	reproductive system	immune system	adult		adult stage	adult stage	Anatomical system that has as its parts the organs concerned with reproduction, i.e. the male and female gonads.
ECAO:1000371	nervous system	anatomical system	whole organism		mesenchyme blastula stage	adult stage	
ECAO:1000372	embryonic nervous system	nervous system	embryo		mesenchyme blastula stage	prism stage	The sum of all the structures in the embryo that will develop into the larval nervous system
ECAO:1000373	larval nervous system	nervous system	larva		early pluteus larva stage	competent pluteus larva stage	The sum of all the neural structures present in the larva
ECAO:1000374	adult nervous system	nervous system			8-arm pluteus larva stage	adult stage	
ECAO:1000375	muscular system	anatomical system	whole organism		early pluteus larva stage	adult stage	
ECAO:1000376	larval muscular system	muscular system	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000377	adult muscular system	muscular system			8-arm pluteus larva stage	adult stage	
ECAO:1000378	endoskeleton	anatomical system	whole organism		mid gastrula stage	adult stage	Internal support structure of an animal composed of mineralized tissue. It gives shape, support and protection to the body.
ECAO:1000379	embryonic endoskeleton	endoskeleton	embryo		mid gastrula stage	prism stage	
ECAO:1000380	larval endoskeleton	endoskeleton	larva		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000381	rudiment endoskeleton	endoskeleton	rudiment				
ECAO:1000382	adult endoskeleton	endoskeleton	adult		8-arm pluteus larva stage	adult stage	
ECAO:1000383	water vascular system	anatomical system	whole organism		4-arm pluteus larva stage	adult stage	The water vascular system is a hydraulic system used by sea urchins for locomotion, food and waste transportation, and respiration. The system is composed of canals connecting numerous tube feet. 
ECAO:1000384	hemal system	anatomical system	adult		8-arm pluteus larva stage	adult stage	The hemal system contains the blood. It is composed of a complex network of vessels mainly located around the gut.
ECAO:1000385	animal hemisphere	embryonic structure	embryo		mature oocyte stage	prism stage	Anatomical region that corresponds to the upper half of the embryo, which later is composed of the mesomeres, and ultimately encompasses the presumptive ectoderm
ECAO:1000386	vegetal hemisphere	embryonic structure	embryo		mature oocyte stage	prism stage	Anatomical region that corresponds to the lower half of the embryo, which later is composed of the macromeres and the micromeres, and ultimately encompasses the endoderm and mesoderm
ECAO:1000387	cell cortex	intracellular part					
ECAO:1000388	cleavage furrow	cell part					
ECAO:1000389	animal cortex	anatomical structure	animal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the animal region of the oocyte. It consists of a phospholipid bilayer and associated proteins
ECAO:1000390	vegetal cortex	anatomical structure	vegetal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the vegetal region of the oocyte. It consists of a phospholipid bilayer and associated proteins
ECAO:1000391	animal pole	anatomical region	animal hemisphere		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical region of the animal hemisphere
ECAO:1000392	vegetal pole	anatomical region	vegetal hemisphere		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical most region of the vegetal hemisphere. Once cleavages have started the vegetal pole is characterized by the presence of the micromeres initially and then that of the small micromeres
ECAO:1000393	animal pole domain 	anatomical region	animal hemisphere		very early blastula stage	prism stage	
ECAO:1000394	blastopore	anatomical region	embryonic digestive system		blastopore gastrula stage	prism stage	
ECAO:1000395	blastopore lip	embryonic structure	blastopore		blastopore gastrula stage	prism stage	
